emb_x,emb_y,NoOfAttributes,NoOfClasses,DataSetSize,AttributeType,EntropyLabel,AvgEntrophyFeatures,AvgCorelationBetFeatures,2_6_8_TrainingAccuracy,2_6_8_TestAccuracy,1_5_0_TrainingAccuracy,1_5_0_TestAccuracy,2_6_20_TrainingAccuracy,2_6_20_TestAccuracy,Accuracy,Legal
0.9677876,0.2665213,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.007106522,0
0.6114051,0.99699867,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.51446444,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,8.03E-35,0
-0.39016923,0.46133733,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.53284115,1
-0.99999875,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.75E-35,0
0.92030823,0.9948907,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.67258346,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.80E-36,0
0.1883529,0.23067755,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.70097977,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,5.96E-36,0
0.7842969,0.9980797,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.664267,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.90E-36,0
0.85193104,0.9977565,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.66843605,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.19E-35,0
0.5804385,0.16430044,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.68248147,1
0.80049556,0.5784139,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.00048675,0
0.7675125,0.047331832,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7240281,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.53E-35,0
0.98097205,0.9683785,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.65503484,1
-0.99999946,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.44E-34,0
0.33500272,0.70261025,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6880418,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,8.03E-35,0
0.5994314,0.35075858,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6705556,1
-0.99999976,0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.78E-27,0
0.6114051,0.99699867,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.51672286,1
-0.99999976,0.9999919,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.77E-27,0
-0.19777942,0.32395402,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.69218385,1
-0.9998742,0.999673,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.52E-27,0
-0.45108426,0.19348946,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.63513327,1
-0.99999976,0.999999,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.55E-27,0
0.16346914,0.33962682,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.682086,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.50E-35,0
0.97248113,0.9734594,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.65934074,1
